Workload Shapes,NPU Shapes,Kernel Shapes,Data Type Input,Data Type Output,NPU Size (KB),Kernel Size (KB),NPU Intensity (Op/B),Kernel Intensity (Op/B),Theoretical Kernel Execution Time (us),Data Tiles,Theoretical NPU Execution Time (ms)
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(64, 16), (64, 16), (64, 64)]","[(64, 16), (64, 16), (64, 64)]",i8,i32,18.43,18.43,1.78,1.78,0.68,65536,46.24
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 16), (32, 16), (32, 32)]","[(32, 16), (32, 16), (32, 32)]",bfloat16,f32,6.14,6.14,2.67,2.67,0.17,131072,25.37
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 64), (256, 16), (8, 64)]","[(8, 64), (256, 16), (8, 64)]",i8,i32,6.66,6.66,2.46,2.46,0.09,16384,2.24
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 128), (256, 16), (8, 32)]","[(8, 128), (256, 16), (8, 32)]",bfloat16,f32,11.26,11.26,2.91,2.91,0.13,8192,1.98
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(64, 16), (64, 16), (64, 16)]","[(64, 16), (64, 16), (64, 16)]",i8,i8,3.07,3.07,10.67,10.67,0.06,65536,5.69
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 16), (32, 16), (32, 16)]","[(32, 16), (32, 16), (32, 16)]",bfloat16,bfloat16,3.07,3.07,5.33,5.33,0.06,131072,11.38
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 64), (256, 16), (8, 16)]","[(8, 64), (256, 16), (8, 16)]",i8,i8,4.74,4.74,3.46,3.46,0.03,16384,1.37
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 128), (256, 16), (8, 16)]","[(8, 128), (256, 16), (8, 16)]",bfloat16,bfloat16,10.50,10.50,3.12,3.12,0.13,8192,1.98
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 32), (128, 16), (32, 64)]","[(32, 32), (128, 16), (32, 64)]",i8,i32,11.26,11.26,2.91,2.91,0.34,65536,24.62
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 32), (64, 32), (32, 64)]","[(32, 32), (64, 32), (32, 64)]",bfloat16,f32,14.34,14.34,4.57,4.57,0.34,32768,13.43
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 128), (512, 4), (8, 16)]","[(8, 128), (512, 4), (8, 16)]",i8,i32,3.58,3.58,2.29,2.29,0.02,32768,1.82
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 128), (256, 8), (8, 16)]","[(8, 128), (256, 8), (8, 16)]",bfloat16,f32,6.66,6.66,2.46,2.46,0.06,16384,2.17
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 32), (128, 16), (32, 16)]","[(32, 32), (128, 16), (32, 16)]",i8,i8,3.58,3.58,9.14,9.14,0.06,65536,6.44
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 32), (64, 32), (32, 32)]","[(32, 32), (64, 32), (32, 32)]",bfloat16,bfloat16,8.19,8.19,8.00,8.00,0.26,32768,10.64
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 128), (512, 4), (8, 4)]","[(8, 128), (512, 4), (8, 4)]",i8,i8,3.10,3.10,2.64,2.64,0.02,32768,1.65
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 128), (256, 8), (8, 8)]","[(8, 128), (256, 8), (8, 8)]",bfloat16,bfloat16,6.27,6.27,2.61,2.61,0.06,16384,2.17
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 32), (128, 16), (32, 16)]","[(32, 32), (128, 16), (32, 16)]",u8,u8,3.58,3.58,9.14,9.14,0.06,65536,6.44
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 128), (512, 4), (8, 4)]","[(8, 128), (512, 4), (8, 4)]",u8,u8,3.10,3.10,2.64,2.64,0.02,32768,1.65
